Seq,Phase,Phase Name,ID,Module,Feature,Target Requirement,Scope Source,Priority,Status,Completion %,Depends On,Current Implementation,Next Action / Missing Work,Key Files,Evidence,Owner,Target Date,Started On,Completed On,Last Updated,Notes
112,2,"Quant Research (data, factors, backtesting)",BT-11,Backtesting,Sharpe/Sortino/CAGR/Calmar,Risk-adjusted metrics,Agreed-Spec,P0,YET TO START,0,BT-16,None,Implement,—,—,,,,,2026-09-24,
113,2,"Quant Research (data, factors, backtesting)",BT-12,Backtesting,VaR/CVaR in backtest,Tail metrics,Agreed-Spec,P1,YET TO START,0,BT-16,None,Implement,—,—,,,,,2026-09-24,
114,2,"Quant Research (data, factors, backtesting)",BT-05,Backtesting,Itemised costs,Brokerage; STT; GST; stamp; SEBI fee; exchange fee,Agreed-Spec,P0,IN PROGRESS,35,,Single blended cost %,Indian cost model shared by backtest and paper,strategy/,backtest_history.py:39,,,,,2026-09-24,
115,2,"Quant Research (data, factors, backtesting)",BT-06,Backtesting,Slippage in backtest,Slippage model,Agreed-Spec,P1,IN PROGRESS,30,BT-05,Paper broker only,Shared slippage model,orders/paper.py,paper.py:199,,,,,2026-09-24,
116,2,"Quant Research (data, factors, backtesting)",BT-07,Backtesting,Liquidity constraints,ADV/turnover floor + participation cap,Agreed-Spec,P1,IN PROGRESS,40,,One engine has floor,All engines,scores/backtest.py,backtest.py:61,,,,,2026-09-24,
117,2,"Quant Research (data, factors, backtesting)",DP-18,Data Platform,Survivorship-free universe,Point-in-time constituents,Agreed-Spec,P1,COMPLETED,80,,Current NIFTY 500 download,Store constituent history,data/index_constituents.py,—,,,,,2026-09-24,
118,2,"Quant Research (data, factors, backtesting)",BT-15,Backtesting,Bias controls,Look-ahead; survivorship,Quant-Research,P1,IN PROGRESS,30,DP-18,Look-ahead handled in 2 places,Systematic checks,—,backtest.py:163-174,,,,,2026-09-24,
119,2,"Quant Research (data, factors, backtesting)",BT-03,Backtesting,In/out-of-sample,Split testing,Agreed-Spec,P0,IN PROGRESS,20,BT-16,Forward signal tracker only,Formal splits,—,—,,,,,2026-09-24,
120,2,"Quant Research (data, factors, backtesting)",BT-02,Backtesting,Walk-forward,Rolling train/test (purged),Agreed-Spec,P0,YET TO START,5,BT-03,None,Implement,—,—,,,,,2026-09-24,
121,2,"Quant Research (data, factors, backtesting)",BT-13,Backtesting,Monte Carlo,Trade shuffle/bootstrap,Agreed-Spec,P1,YET TO START,0,BT-16,None,Implement,—,—,,,,,2026-09-24,
122,2,"Quant Research (data, factors, backtesting)",BT-04,Backtesting,Parameter optimisation,Optimiser,Agreed-Spec,P1,IN PROGRESS,20,BT-02,Manual sweep,Grid/Bayesian optimiser,—,aggressive.py:57,,,,,2026-09-24,
123,2,"Quant Research (data, factors, backtesting)",QR-11,Quant Research,Parameter sensitivity,Sensitivity analysis,Agreed-Spec,P1,IN PROGRESS,20,BT-04,Manual sweep,Neighbourhood analysis,strategy/aggressive.py,—,,,,,2026-09-24,
124,2,"Quant Research (data, factors, backtesting)",BT-14,Backtesting,Robustness,Deflated Sharpe; PBO; regime testing,Quant-Research,P1,YET TO START,0,BT-02,None,Implement,—,—,,,,,2026-09-24,
125,2,"Quant Research (data, factors, backtesting)",QR-12,Quant Research,Reproducibility / experiment tracking,Seeded runs; experiment log,Quant-Research,P1,YET TO START,0,DBS-07,None,Experiment store,—,—,,,,,2026-09-24,
126,2,"Quant Research (data, factors, backtesting)",QR-07,Quant Research,Momentum/trend research,Trend strategy research,Agreed-Spec,P1,IN PROGRESS,30,BT-02,Aggressive exit + 3-policy backtest,Entry-side research,strategy/,backtest_history.py,,,,,2026-09-24,
127,2,"Quant Research (data, factors, backtesting)",QR-08,Quant Research,Mean-reversion research,MR strategy research,Agreed-Spec,P1,IN PROGRESS,20,BT-02,RSI band inside VPI only,Standalone MR tests,scores/engine.py,—,,,,,2026-09-24,
128,2,"Quant Research (data, factors, backtesting)",QR-13,Quant Research,Signal outcome research by regime,Hit rate by regime/ACS decile,Code-Derived,P1,COMPLETED,70,ML-05,success_report keyed on signal/threshold,Add regime/ACS buckets,scores/signal_log.py,signal_log.py:522,,,,,2026-09-24,
129,2,"Quant Research (data, factors, backtesting)",TA-09,Technical Analysis,Beta 3y / rolling 60,1y; 3y; rolling-60 beta (QRH),Agreed-Spec,P2,IN PROGRESS,40,TA-12,1y beta only,Add 3y and rolling beta,data/technical.py,technical.py:99,,,,,2026-09-24,
130,2,"Quant Research (data, factors, backtesting)",SC-16,Alpha/Factor Engine,Beta Risk Index,Optional BRI (QRH),Agreed-Spec,P2,YET TO START,0,TA-09,None,Define + implement,—,—,,,,,2026-09-24,
131,2,"Quant Research (data, factors, backtesting)",TA-11,Technical Analysis,Extended indicator catalogue,Ichimoku; Donchian; Keltner; SAR; MFI; CMF; HV,Quant-Research,P2,YET TO START,5,TA-12,None,Implement per research workbook,data/technical.py,—,,,,,2026-09-24,
132,2,"Quant Research (data, factors, backtesting)",DP-08,Data Platform,Derivatives data,Futures; options; OI; IV; PCR,Agreed-Spec,P1,YET TO START,0,DBS-04,None,NSE F&O bhavcopy + option chain store,—,—,,,,,2026-09-24,
133,2,"Quant Research (data, factors, backtesting)",SC-06,Alpha/Factor Engine,MSI,Market Sentiment Index per QRH,Agreed-Spec,P1,IN PROGRESS,55,DP-08,Options/PCR frozen; news rule-based,Real PCR; AI news later,scores/engine.py,engine.py:374,,,,,2026-09-24,
134,2,"Quant Research (data, factors, backtesting)",DP-10,Data Platform,FII/DII history,FII/DII time series,Agreed-Spec,P2,COMPLETED,80,,Session flows; only 7 sessions history,Historical backfill source,data/bhavcopy.py,969f570,,,,,2026-09-24,
135,2,"Quant Research (data, factors, backtesting)",DP-11,Data Platform,GIFT Nifty,Pre-open GIFT Nifty,Agreed-Spec,P2,IN PROGRESS,60,,In index feed; shown on dashboard,Verify pre-market capture; store history,data/dhan.py,dhan.py:486,,,,,2026-09-24,
136,2,"Quant Research (data, factors, backtesting)",DB-04,Dashboard,GIFT Nifty panel,Dashboard section,Agreed-Spec,P2,IN PROGRESS,60,DP-11,In index strip,Dedicated pre-open view,dashboard/server.py,—,,,,,2026-09-24,
137,2,"Quant Research (data, factors, backtesting)",DP-12,Data Platform,Global markets,Indices; FX; commodities; yields,Agreed-Spec,P2,IN PROGRESS,70,,13 yfinance tickers,Bond yields; history depth,data/markets.py,markets.py:22-26,,,,,2026-09-24,
138,2,"Quant Research (data, factors, backtesting)",DP-13,Data Platform,Sector data,Sector classification + sector indices,Agreed-Spec,P2,IN PROGRESS,60,,Industry via constituents,Sector index history; sector breadth,data/index_constituents.py,—,,,,,2026-09-24,
139,2,"Quant Research (data, factors, backtesting)",DP-16,Data Platform,Institutional data,MF; promoter; insider; bulk/block,Agreed-Spec,P1,IN PROGRESS,25,,Bulk/block only,Promoter/SAST/PIT/MF feeds,data/bhavcopy.py,bhavcopy.py:67-124,,,,,2026-09-24,
140,2,"Quant Research (data, factors, backtesting)",SC-14,Alpha/Factor Engine,Institutional Score,INS formula,Agreed-Spec,P1,IN PROGRESS,40,DP-16,FII + bulk only,Add MF/promoter/insider,scores/engine.py,engine.py:188,,,,,2026-09-24,
141,2,"Quant Research (data, factors, backtesting)",AD-03,Alternative Data,Bulk/block deal signal,Deal-flow signal,Agreed-Spec,P2,IN PROGRESS,40,DP-16,Feeds INS,Validate with IC,data/bhavcopy.py,bhavcopy.py:113,,,,,2026-09-24,
142,3,Strategy Engine,SG-04,Signal Engine,Rich decision states,STRONG BUY..NO TRADE with reasons,Quant-Research,P0,IN PROGRESS,20,BT-02,WAIT as de-facto no-trade,Extended states + stored reasons,scores/engine.py,engine.py:499,,,,,2026-09-24,
143,3,Strategy Engine,SG-01,Signal Engine,SELL calibration,BUY/SELL/HOLD/WAIT all reachable,Agreed-Spec,P0,COMPLETED,70,BT-02,SELL never fired,Backtest-based SELL thresholds,scores/engine.py,determine_signal,,,,,2026-09-24,
144,3,Strategy Engine,SE-01,Strategy Engine,Strategy library,Multiple strategies (FR-SB-004),Agreed-Spec,P0,IN PROGRESS,20,BT-16,One strategy + order rules,Strategy interface + registry,strategy/,—,,,,,2026-09-24,
145,3,Strategy Engine,SE-02,Strategy Engine,Strategy parameters,Parameter management,Agreed-Spec,P0,IN PROGRESS,35,SE-01,Aggressive params; order_rules,Param store per strategy with versions,strategy/; orders/rules.py,—,,,,,2026-09-24,
146,3,Strategy Engine,SE-03,Strategy Engine,Rule-based strategies,Rule engine,Agreed-Spec,P1,IN PROGRESS,50,SE-01,orders/rules.py rule engine,Generic rule definition format,orders/rules.py,—,,,,,2026-09-24,
147,3,Strategy Engine,SE-06,Strategy Engine,Multi-factor strategy,Composite-score entries,Agreed-Spec,P1,IN PROGRESS,40,SE-01; QR-01,BUY from ATIP composite,IC-weighted multi-factor strategy,scores/engine.py,engine.py:435,,,,,2026-09-24,
148,3,Strategy Engine,SE-04,Strategy Engine,Quant strategies,Factor/stat strategies,Quant-Research,P1,YET TO START,5,SE-01; QR-01,None,Implement first quant strategies,—,—,,,,,2026-09-24,
149,3,Strategy Engine,SE-09,Strategy Engine,Strategy lifecycle,Idea -> research -> paper -> live -> retired,Quant-Research,P1,YET TO START,5,SE-01,None,State machine + gates,—,strategy_event 3 rows,,,,,2026-09-24,
150,3,Strategy Engine,SE-11,Strategy Engine,Strategy health,Rolling Sharpe/DD per strategy,Quant-Research,P1,YET TO START,0,SE-09; BT-16,None,Health scoring + alerts,—,—,,,,,2026-09-24,
151,3,Strategy Engine,SE-07,Strategy Engine,Strategy combination/ranking/selection,Allocator across strategies,Quant-Research,P1,YET TO START,5,SE-11,None,Allocator,—,—,,,,,2026-09-24,
152,3,Strategy Engine,SE-08,Strategy Engine,Regime-aware selection,Regime switches strategies,Quant-Research,P2,IN PROGRESS,15,SE-07; ML-05,Regime gates only,Regime-conditional allocation,scores/engine.py,—,,,,,2026-09-24,
153,3,Strategy Engine,SG-08,Signal Engine,Intraday scans,Midday/pre-close scans on real data,Code-Derived,P2,IN PROGRESS,60,DP-03,Scheduled 12:30 and 14:45,Use stored intraday bars,pipeline/scheduler.py,scheduler.py:1048,,,,,2026-09-24,
154,3,Strategy Engine,DB-11,Dashboard,Crash Risk + Top 25 SPI/MSI lists,Daily top-25 lists per concept document,Agreed-Spec,P1,IN PROGRESS,40,,CRI per-stock column only,Dedicated lists,dashboard/server.py,—,,,,,2026-09-24,
155,3,Strategy Engine,DB-16,Dashboard,Strategy performance panel,Dashboard section,Agreed-Spec,P1,YET TO START,10,SE-11,None,Panel,dashboard/server.py,—,,,,,2026-09-24,
156,4,AI/ML,ML-13,AI/ML,Labels/targets,Outcome labels for training,Agreed-Spec,P0,IN PROGRESS,40,AF-03,predictions + accuracy_tracker,Label store with horizons,scores/,—,,,,,2026-09-24,
157,4,AI/ML,ML-07,AI/ML,Feature selection,Automated selection,Quant-Research,P1,YET TO START,0,ML-13; QR-01,None,Implement,—,—,,,,,2026-09-24,
158,4,AI/ML,ML-08,AI/ML,Model validation,Purged CV; AUC; calibration,Agreed-Spec,P0,YET TO START,0,ML-13; BT-02,None,Validation framework,—,—,,,,,2026-09-24,
159,4,AI/ML,ML-01,AI/ML,Supervised ML,Classification/regression models,Agreed-Spec,P0,YET TO START,0,ML-08,None; no ML library,First model (e.g. gradient boosting),—,grep sklearn = 0,,,,,2026-09-24,
160,4,AI/ML,ML-12,AI/ML,Model registry/versioning,FR-ML-002,Agreed-Spec,P0,IN PROGRESS,15,ML-01; DBS-07,Signal provenance only,Registry,scores/signal_log.py,—,,,,,2026-09-24,
161,4,AI/ML,ML-11,AI/ML,Ensemble models,Ensembles,Quant-Research,P1,YET TO START,0,ML-01,None,Implement,—,—,,,,,2026-09-24,
162,4,AI/ML,ML-09,AI/ML,Model monitoring/drift,Drift alerts (FR-ML-001),Agreed-Spec,P1,YET TO START,0,ML-12,None,Implement,—,—,,,,,2026-09-24,
163,4,AI/ML,ML-10,AI/ML,Explainability,FR-AI-003,Agreed-Spec,P1,IN PROGRESS,40,ML-01,top_factor_1..3,Model attribution,scores/engine.py,—,,,,,2026-09-24,
164,4,AI/ML,ML-05,AI/ML,Regime detection,Model-based regime + probability,Agreed-Spec,P0,IN PROGRESS,30,SC-09,5-way threshold on MH,HMM/GMM; regime-conditional weights,scores/engine.py,compute_mh,,,,,2026-09-24,
165,4,AI/ML,ML-03,AI/ML,Unsupervised learning,Clustering,Agreed-Spec,P2,YET TO START,0,AF-03,None,Implement,—,—,,,,,2026-09-24,
166,4,AI/ML,ML-06,AI/ML,Anomaly detection,Data/market anomalies,Agreed-Spec,P2,YET TO START,0,DP-19,None,Implement,—,—,,,,,2026-09-24,
167,4,AI/ML,SE-05,Strategy Engine,AI-driven strategies,FR-SB-003,Agreed-Spec,P1,YET TO START,0,ML-01; SE-01,None,ML-signal strategy through lifecycle,—,—,,,,,2026-09-24,
168,4,AI/ML,NS-02,News/Sentiment,News classification,Earnings/Orders/M&A/RBI/Govt/Global/Geopolitics,Agreed-Spec,P0,IN PROGRESS,30,,Claude classifier coded; key unset,Set key; taxonomy; cost cap,data/news.py,news.py:118-129,,,,,2026-09-24,
169,4,AI/ML,NS-03,News/Sentiment,Sentiment + confidence,Positive/neutral/negative + confidence,Agreed-Spec,P0,IN PROGRESS,40,NS-02,Rule-based; confidence frozen 50,Model-based scoring,data/news.py,—,,,,,2026-09-24,
170,4,AI/ML,NS-05,News/Sentiment,Novelty/decay/source weighting,Decayed weighted sentiment,Quant-Research,P1,YET TO START,5,NS-03,None,Implement,data/news.py,—,,,,,2026-09-24,
171,4,AI/ML,NS-04,News/Sentiment,AI news summary,Summary for dashboard,Agreed-Spec,P1,IN PROGRESS,50,NS-02,Headline list,LLM summary,dashboard/server.py,/api/news,,,,,2026-09-24,
172,4,AI/ML,DB-06,Dashboard,AI News Summary panel,Dashboard section,Agreed-Spec,P1,IN PROGRESS,50,NS-04,News panel (rule-based),Show AI summary,dashboard/server.py,—,,,,,2026-09-24,
173,4,AI/ML,NS-06,News/Sentiment,Earnings call / announcement NLP,Transcript sentiment,Agreed-Spec,P2,YET TO START,0,NS-02,None,Implement,—,—,,,,,2026-09-24,
174,4,AI/ML,ML-02,AI/ML,Deep learning,Neural models,Agreed-Spec,P2,YET TO START,0,ML-08,None,Only if validated benefit,—,—,,,,,2026-09-24,
175,4,AI/ML,ML-04,AI/ML,Reinforcement learning,RL where appropriate,Agreed-Spec,P2,YET TO START,0,ML-08,None,Low priority,—,—,,,,,2026-09-24,
176,4,AI/ML,DB-18,Dashboard,Quant/model panel,Factor IC; model health,Quant-Research,P2,YET TO START,0,ML-12,None,Panel,dashboard/server.py,—,,,,,2026-09-24,
177,5,Risk & Portfolio,PF-03,Portfolio,Exposure / sector allocation,Allocation view,Agreed-Spec,P1,IN PROGRESS,30,PF-02,Partial via PHS,Sector exposure table,scores/portfolio_health.py,—,,,,,2026-09-24,
178,5,Risk & Portfolio,PF-04,Portfolio,Concentration/diversification,HHI; weight caps,Agreed-Spec,P1,IN PROGRESS,40,PF-03,Diversification term in PHS,Position-weight metrics,scores/portfolio_health.py,portfolio_health.py:127,,,,,2026-09-24,
179,5,Risk & Portfolio,PF-09,Portfolio,Correlation,Holdings correlation,Agreed-Spec,P1,YET TO START,0,QR-04,None,Implement,—,—,,,,,2026-09-24,
180,5,Risk & Portfolio,RK-11,Risk Management,Correlation risk,Cluster limits,Quant-Research,P1,YET TO START,0,PF-09,None,Implement,orders/risk.py,—,,,,,2026-09-24,
181,5,Risk & Portfolio,RK-12,Risk Management,Portfolio VaR/ES,Portfolio risk,Quant-Research,P1,YET TO START,0,QR-04,None,Implement,—,—,,,,,2026-09-24,
182,5,Risk & Portfolio,RK-06,Risk Management,Sector limits,Sector cap,Quant-Research,P1,YET TO START,0,PF-03,None,Pre-trade sector check,orders/risk.py,—,,,,,2026-09-24,
183,5,Risk & Portfolio,RK-09,Risk Management,Volatility limits,Vol-scaled exposure,Quant-Research,P1,YET TO START,0,TA-12,None,Implement,orders/risk.py,—,,,,,2026-09-24,
184,5,Risk & Portfolio,RK-10,Risk Management,Liquidity limits,ADV participation cap,Quant-Research,P1,YET TO START,5,DP-02,None in order path,Pre-trade ADV check,orders/risk.py,—,,,,,2026-09-24,
185,5,Risk & Portfolio,RK-18,Risk Management,Strategy risk budget,Per-strategy limits,Quant-Research,P2,YET TO START,0,SE-09,None,Implement,orders/risk.py,—,,,,,2026-09-24,
186,5,Risk & Portfolio,RK-01,Risk Management,Kill switch scopes + auto-trigger,Global/strategy/symbol; auto on breach,Quant-Research,P0,COMPLETED,80,RK-07; RK-08,Global flag file + config,Per-strategy/symbol; auto-trigger,orders/risk.py,71bff1b,,,,,2026-09-24,
187,5,Risk & Portfolio,RK-16,Risk Management,Emergency exit,Flatten all positions,Quant-Research,P0,YET TO START,5,RK-01,None,One-command flatten with confirm,orders/,—,,,,,2026-09-24,
188,5,Risk & Portfolio,PF-10,Portfolio,Portfolio optimisation,Vol target; risk parity; MV with costs; BL,Quant-Research,P1,YET TO START,0,RK-12,None,Covariance + optimiser,—,—,,,,,2026-09-24,
189,5,Risk & Portfolio,PF-06,Portfolio,Rebalancing,Rebalance proposals,Agreed-Spec,P1,YET TO START,0,PF-10,None,Implement,—,—,,,,,2026-09-24,
190,5,Risk & Portfolio,PF-07,Portfolio,Risk attribution,Risk contribution,Quant-Research,P2,YET TO START,0,PF-10,None,Implement,—,—,,,,,2026-09-24,
191,5,Risk & Portfolio,PF-08,Portfolio,Performance attribution,Return attribution,Quant-Research,P2,YET TO START,0,PF-13,None,Implement,—,—,,,,,2026-09-24,
192,5,Risk & Portfolio,PF-11,Portfolio,CAGR/XIRR analytics,FR-PO-004,Agreed-Spec,P2,YET TO START,5,PF-13,None,Implement,—,—,,,,,2026-09-24,
193,5,Risk & Portfolio,DB-17,Dashboard,Risk dashboard,Risk panel,Quant-Research,P1,YET TO START,5,RK-12,None,Panel,dashboard/server.py,—,,,,,2026-09-24,
194,6,Execution,EX-02,Execution,Order types,Market/limit/SL/SL-M/GTT/bracket,Agreed-Spec,P0,IN PROGRESS,50,,Market + limit,Add SL/SL-M/GTT,orders/broker.py,—,,,,,2026-09-24,
195,6,Execution,EX-08,Execution,Order modify/cancel,FR-LT-002/003,Agreed-Spec,P0,UNCLEAR,0,,Not verified,Confirm; implement,orders/broker.py,—,,,,,2026-09-24,
196,6,Execution,BR-05,Broker Integration,Execution reconciliation,Orders vs broker fills/positions,Agreed-Spec,P0,IN PROGRESS,30,,Partial reconcile code,EOD reconciliation job + alert,orders/,—,,,,,2026-09-24,
197,6,Execution,BR-06,Broker Integration,Connection health,FR-BI-003,Agreed-Spec,P1,IN PROGRESS,40,MON-03,broker-status route; WS stall detection,Health checks + alerts,dashboard/server.py,b303d7a,,,,,2026-09-24,
198,6,Execution,RK-17,Risk Management,Broker/operational risk,Token expiry; connection loss,Quant-Research,P1,IN PROGRESS,30,BR-06,broker-status route,Automated checks,dashboard/server.py,—,,,,,2026-09-24,
199,6,Execution,BR-08,Broker Integration,Sandbox,Broker sandbox environment,Code-Derived,P2,IN PROGRESS,30,,SANDBOX env defined,Verify sandbox path end-to-end,orders/environment.py,—,,,,,2026-09-24,
200,6,Execution,EX-09,Execution,Measured slippage,Slippage vs decision price,Quant-Research,P1,YET TO START,5,PF-13,Assumption only,Measure per fill,orders/,—,,,,,2026-09-24,
201,6,Execution,EX-10,Execution,Execution analytics,Implementation shortfall; fill/reject rate,Quant-Research,P1,IN PROGRESS,10,EX-09,order_log raw data only,Analytics + panel,orders/,—,,,,,2026-09-24,
202,6,Execution,BR-02,Broker Integration,Zerodha/Kite,Portfolio (+orders optional),Agreed-Spec,P2,IN PROGRESS,50,,Holdings sync only,Token refresh; orders if wanted,portfolio/zerodha.py,—,,,,,2026-09-24,
203,6,Execution,MON-04,Monitoring,Live strategy/P&L monitoring,Live P&L view,Agreed-Spec,P1,IN PROGRESS,25,PF-13,Dashboard partial,Live P&L panel,dashboard/server.py,—,,,,,2026-09-24,
204,6,Execution,SEC-03,Security,Audit logging,Immutable audit (FR-AT-001),Agreed-Spec,P1,IN PROGRESS,50,,order_log; signal_log; pipeline_log,Tamper-evident unified audit,—,—,,,,,2026-09-24,
205,7,Advanced Quant,DP-04,Data Platform,Tick data,Tick capture store,Quant-Research,P2,YET TO START,5,DBS-04,live_ticks exists; 0 rows,Tick ingestion + storage,data/dhan.py,—,,,,,2026-09-24,
206,7,Advanced Quant,DP-05,Data Platform,Order book / depth,L2 depth; bid/ask,Quant-Research,P2,YET TO START,5,DP-04,FULL feed type defined (CLI only),Depth capture + schema,data/dhan.py,dhan.py FULL=21,,,,,2026-09-24,
207,7,Advanced Quant,AF-07,Alpha/Factor Engine,Microstructure factors,OBI; spread; microprice,Quant-Research,P2,YET TO START,0,DP-05,None,Implement,—,—,,,,,2026-09-24,
208,7,Advanced Quant,AF-06,Alpha/Factor Engine,Derivatives factors,OI buildup; IV; PCR; skew,Quant-Research,P2,YET TO START,0,DP-08,None,Implement,—,—,,,,,2026-09-24,
209,7,Advanced Quant,QR-10,Quant Research,Volatility strategies,IV/RV; vol breakout,Quant-Research,P2,YET TO START,0,DP-08,None,Implement,—,—,,,,,2026-09-24,
210,7,Advanced Quant,QR-05,Quant Research,Stat-arb / pairs / cointegration,Pairs research,Quant-Research,P2,YET TO START,0,QR-04,None,Implement,—,—,,,,,2026-09-24,
211,7,Advanced Quant,QR-06,Quant Research,Cross-sectional / market-neutral,Long-short research,Quant-Research,P2,YET TO START,0,DP-08,None (long-only cash),Needs shorting via F&O,—,—,,,,,2026-09-24,
212,7,Advanced Quant,QR-09,Quant Research,Event-driven research,Earnings/CA event studies,Quant-Research,P2,YET TO START,5,DP-06,CA data exists; no event study,Abnormal-return engine,—,—,,,,,2026-09-24,
213,7,Advanced Quant,AF-05,Alpha/Factor Engine,Value/quality composites,Piotroski; Altman; value z-composite,Quant-Research,P2,YET TO START,0,DP-15,None,Implement,—,—,,,,,2026-09-24,
214,7,Advanced Quant,EX-11,Execution,Execution algos,TWAP/VWAP/POV,Quant-Research,P2,YET TO START,0,DP-03,None,Implement,—,—,,,,,2026-09-24,
215,7,Advanced Quant,EX-12,Execution,Market impact model,Impact estimate,Quant-Research,P2,YET TO START,0,DP-05,None,Implement,—,—,,,,,2026-09-24,
216,7,Advanced Quant,EX-15,Execution,Latency telemetry,p50/p95/p99,Quant-Research,P2,YET TO START,0,,None,Instrument data and order paths,—,—,,,,,2026-09-24,
217,7,Advanced Quant,EX-16,Execution,Event-driven OMS,Event bus signal->risk->order->fill,Quant-Research,P2,YET TO START,10,EX-15,Synchronous calls,Implement,—,—,,,,,2026-09-24,
218,7,Advanced Quant,BT-17,Backtesting,Event-driven backtester,Event engine shared with live,Quant-Research,P2,YET TO START,0,EX-16,Bar loops only,Implement,—,—,,,,,2026-09-24,
219,7,Advanced Quant,DP-14,Data Platform,Macroeconomic data,RBI rates; CPI; IIP; yields,Quant-Research,P2,YET TO START,0,,None,Macro connectors + calendar,—,—,,,,,2026-09-24,
220,7,Advanced Quant,AD-01,Alternative Data,Alt-data framework,Source abstraction,Quant-Research,P2,YET TO START,0,,None,DataSource interface,—,—,,,,,2026-09-24,
221,7,Advanced Quant,AD-02,Alternative Data,Alt-data sources,Web/social/search/etc.,Quant-Research,P2,YET TO START,0,AD-01,None,Add sources,—,—,,,,,2026-09-24,
222,7,Advanced Quant,DP-22,Data Platform,Point-in-time data lake,Columnar PIT research store,Quant-Research,P2,YET TO START,5,,SQLite only,Parquet/DuckDB store,—,—,,,,,2026-09-24,
223,7,Advanced Quant,DP-21,Data Platform,Multi-asset data,Commodities; FX; bonds; MF,Agreed-Spec,P2,YET TO START,0,,Global display tickers only,MCX/CDS/bond/MF feeds,—,—,,,,,2026-09-24,
224,8,Production Hardening,MON-05,Monitoring,Model/factor decay monitoring,Decay alerts,Quant-Research,P1,YET TO START,0,QR-02; ML-09,None,Implement,—,—,,,,,2026-09-24,
225,8,Production Hardening,OPS-06,Deployment/Ops,DR / backup automation,DR plan,Agreed-Spec,P1,YET TO START,5,DBS-03,None,Restore drills,—,—,,,,,2026-09-24,
226,8,Production Hardening,SEC-04,Security,Encryption,TLS 1.3; AES-256 at rest (SRS),Agreed-Spec,P1,YET TO START,5,,None locally,Encrypt secrets and DB at rest,—,—,,,,,2026-09-24,
227,8,Production Hardening,API-05,APIs,API contracts/docs,Documented contracts,Agreed-Spec,P2,IN PROGRESS,30,,FastAPI defaults only,Written contracts,—,—,,,,,2026-09-24,
228,8,Production Hardening,API-06,APIs,Widget JSON schemas,QRH deliverable,Agreed-Spec,P2,YET TO START,5,,None,Define schemas,—,—,,,,,2026-09-24,
229,8,Production Hardening,OPS-05,Deployment/Ops,Documentation set,BRD..OPS documents with real content,Agreed-Spec,P1,IN PROGRESS,15,,Mostly 60-word templates,Author docs from as-built system,docs/,OLd_Archives_ATIP/ATIP_Docs,,,,,2026-09-24,
230,9,Enterprise SaaS (final objective),ENT-01,Enterprise Platform,Multi-tenant architecture,Per-user data isolation; tenant model,Enterprise-SaaS,P0,YET TO START,0,OPS-05,Single-user local design,Architecture decision record; tenant-scoped schema,—,BRD-003; SRS 2,,,,,2026-09-24,
231,9,Enterprise SaaS (final objective),DBS-05,Database,Scalable database,PostgreSQL/time-series (SRS),Enterprise-SaaS,P0,YET TO START,0,ENT-01,SQLite,Migrate to Postgres,—,SRS 2,,,,,2026-09-24,
232,9,Enterprise SaaS (final objective),ENT-07,Security,Secure internet exposure,TLS; WAF; rate limits; zero trust,Enterprise-SaaS,P0,YET TO START,0,ENT-01,Local-only by design (never exposed),Security architecture before any exposure,—,SRS 5,,,,,2026-09-24,
233,9,Enterprise SaaS (final objective),SEC-02,Security,Users / RBAC / MFA,FR-AU-001/002; RBAC,Enterprise-SaaS,P0,YET TO START,0,ENT-07,Single-user; none,Identity provider; roles; MFA,—,SRS Part III,,,,,2026-09-24,
234,9,Enterprise SaaS (final objective),ENT-05,Security,Session management,Timeout; refresh tokens; revocation (FR-AU-003),Enterprise-SaaS,P0,YET TO START,0,SEC-02,Single static token,Implement,—,SRS Part III,,,,,2026-09-24,
235,9,Enterprise SaaS (final objective),ENT-02,User Management,User registration/onboarding,Email; mobile; OAuth; Google; Apple (FR-UM-001),Enterprise-SaaS,P0,YET TO START,0,SEC-02,None,Implement,—,SRS Part III,,,,,2026-09-24,
236,9,Enterprise SaaS (final objective),ENT-03,User Management,User profile + risk profile,FR-UM-002,Enterprise-SaaS,P0,YET TO START,0,ENT-02,None,Implement,—,SRS Part III,,,,,2026-09-24,
237,9,Enterprise SaaS (final objective),ENT-06,Security,Per-user broker credential vault,Broker OAuth; encrypted per-user tokens,Enterprise-SaaS,P0,YET TO START,0,SEC-02,One owner's config.json,Vault + broker OAuth,—,—,,,,,2026-09-24,
238,9,Enterprise SaaS (final objective),ENT-14,Compliance,Regulatory approvals,SEBI retail algo framework (broker/exchange algo approval); RA/IA registration if advice is offered,Enterprise-SaaS,P0,YET TO START,0,,None,Legal review before offering to other users,—,BRD-006,,,,,2026-09-24,
239,9,Enterprise SaaS (final objective),SEC-05,Security,Compliance monitoring,FR-AT-002,Enterprise-SaaS,P0,YET TO START,0,ENT-14,None,Implement controls from ENT-14,—,SRS Part III,,,,,2026-09-24,
240,9,Enterprise SaaS (final objective),ENT-17,Compliance,Data privacy,DPDP Act; consent; retention,Enterprise-SaaS,P1,YET TO START,0,ENT-14,None,Privacy policy + controls,—,BRD-004,,,,,2026-09-24,
241,9,Enterprise SaaS (final objective),ENT-08,Channels,Multi-user web app,Web UI for all users,Enterprise-SaaS,P0,YET TO START,0,SEC-02,Single-user dashboard + read-only snapshot,Build web app,—,SRS 2,,,,,2026-09-24,
